Peak;RT;Area;Area_%;Area_Sum_%;Height;Width;FWHM;Compuestos_interes;etiqueta;concentracion_eugenol;concentracion_ppm
 6             ;10.549         ; 1968890.55    ;  1.25         ; 0.78          ; 444446.47     ;0.192          ;0.068          ;FURFURAL       ;Ca-1           ;NA             ; 1.73157455    
10             ;12.035         ;  456605.02    ;  0.29         ; 0.18          ; 106421.57     ;0.129          ;0.068          ;5METHYLFURFURAL;Ca-1           ;NA             ; 0.21928902    
22             ;18.312         ;  211164.97    ;  0.13         ; 0.08          ;  74391.55     ;0.137          ;0.032          ;EUGENOL        ;Ca-1           ;-0.02615103    ;-0.02615103    
 6             ;10.470         ; 3342256.44    ; 14.53         ; 4.72          ; 741744.00     ;0.210          ;0.070          ;FURFURAL       ;Ca-10          ;NA             ; 3.10494044    
12             ;11.980         ;  282207.26    ;  1.23         ; 0.40          ;  87989.42     ;0.120          ;0.050          ;5METHYLFURFURAL;Ca-10          ;NA             ; 0.04489126    
38             ;18.300         ;  392371.31    ;  1.71         ; 0.55          ; 146813.28     ;0.140          ;0.040          ;EUGENOL        ;Ca-10          ; 0.15505531    ; 0.15505531    
52             ;20.570         ;  870646.62    ;  3.78         ; 1.23          ; 281774.01     ;0.100          ;0.040          ;VANILLIN       ;Ca-10          ;NA             ; 0.63333062    
 5             ;10.499         ; 3186231.29    ;  3.23         ; 1.96          ; 811226.38     ;0.163          ;0.062          ;FURFURAL       ;Ca-11          ;NA             ; 2.94891529    
10             ;12.005         ;  198929.71    ;  0.20         ; 0.12          ;  84708.85     ;0.078          ;0.040          ;5METHYLFURFURAL;Ca-11          ;NA             ;-0.03838629    
26             ;18.308         ;  201255.01    ;  0.20         ; 0.12          ;  76771.61     ;0.144          ;0.032          ;EUGENOL        ;Ca-11          ;-0.03606099    ;-0.03606099    
34             ;20.582         ;  907397.56    ;  0.92         ; 0.56          ; 360610.40     ;0.099          ;0.030          ;VANILLIN       ;Ca-11          ;NA             ; 0.67008156    
 5             ;10.480         ; 2540903.80    ; 19.61         ; 4.26          ; 548278.21     ;0.220          ;0.070          ;FURFURAL       ;Ca-12          ;NA             ; 2.30358780    
12             ;11.990         ;  157921.99    ;  1.22         ; 0.26          ;  53734.89     ;0.100          ;0.050          ;5METHYLFURFURAL;Ca-12          ;NA             ;-0.07939401    
44             ;18.310         ;  267607.95    ;  2.07         ; 0.45          ;  64480.29     ;0.160          ;0.060          ;EUGENOL        ;Ca-12          ; 0.03029195    ; 0.03029195    
 5             ;10.460         ; 4293907.75    ; 52.86         ; 8.17          ;1019496.20     ;0.210          ;0.070          ;FURFURAL       ;Ca-13          ;NA             ; 4.05659175    
11             ;11.970         ;  511483.39    ;  6.30         ; 0.97          ; 151150.42     ;0.140          ;0.050          ;5METHYLFURFURAL;Ca-13          ;NA             ; 0.27416739    
 4             ;10.503         ; 3415384.58    ; 15.29         ; 5.24          ; 627095.60     ;0.254          ;0.085          ;FURFURAL       ;Ca-14          ;NA             ; 3.17806858    
11             ;12.005         ;  177374.15    ;  0.79         ; 0.27          ;  48616.26     ;0.125          ;0.065          ;5METHYLFURFURAL;Ca-14          ;NA             ;-0.05994185    
 8             ;10.440         ; 5318711.91    ; 48.73         ; 8.62          ;1176554.76     ;0.170          ;0.070          ;FURFURAL       ;Ca-15          ;NA             ; 5.08139591    
15             ;11.970         ;  356929.89    ;  3.27         ; 0.58          ; 100497.03     ;0.120          ;0.060          ;5METHYLFURFURAL;Ca-15          ;NA             ; 0.11961389    
65             ;20.570         ; 1748040.40    ; 16.02         ; 2.83          ; 660898.72     ;0.100          ;0.040          ;VANILLIN       ;Ca-15          ;NA             ; 1.51072440    
 8             ;10.470         ; 5262396.21    ; 22.67         ; 7.10          ;1194289.26     ;0.210          ;0.070          ;FURFURAL       ;Ca-16          ;NA             ; 5.02508021    
14             ;11.980         ;  526518.56    ;  2.27         ; 0.71          ; 144790.11     ;0.140          ;0.060          ;5METHYLFURFURAL;Ca-16          ;NA             ; 0.28920256    
43             ;18.290         ;  154910.11    ;  0.67         ; 0.21          ;  57411.27     ;0.120          ;0.040          ;EUGENOL        ;Ca-16          ;-0.08240589    ;-0.08240589    
54             ;20.570         ;  530039.44    ;  2.28         ; 0.72          ; 306560.68     ;0.050          ;0.030          ;VANILLIN       ;Ca-16          ;NA             ; 0.29272344    
 5             ;10.440         ; 4737878.46    ; 63.17         ; 9.58          ;1040135.26     ;0.170          ;0.070          ;FURFURAL       ;Ca-17          ;NA             ; 4.50056246    
11             ;11.960         ;  382061.82    ;  5.09         ; 0.77          ;  97682.70     ;0.130          ;0.060          ;5METHYLFURFURAL;Ca-17          ;NA             ; 0.14474582    
53             ;20.560         ;  231002.06    ;  3.08         ; 0.47          ; 176166.91     ;0.040          ;0.020          ;VANILLIN       ;Ca-17          ;NA             ;-0.00631394    
 7             ;10.440         ; 4897095.39    ; 74.04         ;11.92          ;1219569.22     ;0.150          ;0.060          ;FURFURAL       ;Ca-18          ;NA             ; 4.65977939    
13             ;11.970         ;  290207.60    ;  4.39         ; 0.71          ; 110743.59     ;0.080          ;0.040          ;5METHYLFURFURAL;Ca-18          ;NA             ; 0.05289160    
42             ;18.290         ;  124282.37    ;  1.88         ; 0.30          ;  45014.17     ;0.130          ;0.040          ;EUGENOL        ;Ca-18          ;-0.11303363    ;-0.11303363    
 5             ;10.476         ; 4192203.71    ; 17.70         ; 5.39          ; 903129.36     ;0.201          ;0.072          ;FURFURAL       ;Ca-19          ;NA             ; 3.95488771    
10             ;11.982         ;  515848.44    ;  2.18         ; 0.66          ; 129996.62     ;0.141          ;0.061          ;5METHYLFURFURAL;Ca-19          ;NA             ; 0.27853244    
51             ;20.574         ;  343770.13    ;  1.45         ; 0.44          ; 194358.44     ;0.055          ;0.030          ;VANILLIN       ;Ca-19          ;NA             ; 0.10645413    
 8             ;10.460         ; 4294221.34    ; 23.40         ; 6.18          ; 958548.46     ;0.180          ;0.070          ;FURFURAL       ;Ca-2           ;NA             ; 4.05690534    
15             ;11.980         ;  394575.80    ;  2.15         ; 0.57          ;  94425.50     ;0.150          ;0.060          ;5METHYLFURFURAL;Ca-2           ;NA             ; 0.15725980    
40             ;18.300         ;  281036.71    ;  1.53         ; 0.40          ;  96301.12     ;0.150          ;0.040          ;EUGENOL        ;Ca-2           ; 0.04372071    ; 0.04372071    
57             ;20.570         ;  247084.03    ;  1.35         ; 0.36          ; 170936.46     ;0.040          ;0.030          ;VANILLIN       ;Ca-2           ;NA             ; 0.00976803    
 3             ;10.480         ;  637781.65    ;  4.51         ; 0.84          ; 282760.08     ;0.083          ;0.044          ;FURFURAL       ;Ca-20          ;NA             ; 0.40046565    
 6             ;11.959         ;  394418.30    ;  2.79         ; 0.52          ;  89311.53     ;0.137          ;0.064          ;5METHYLFURFURAL;Ca-20          ;NA             ; 0.15710230    
 9             ;10.431         ; 5199871.67    ; 67.84         ; 9.44          ;1219836.91     ;0.160          ;0.068          ;FURFURAL       ;Ca-21          ;NA             ; 4.96255567    
16             ;11.971         ;  533315.86    ;  6.96         ; 0.97          ; 151425.40     ;0.133          ;0.054          ;5METHYLFURFURAL;Ca-21          ;NA             ; 0.29599986    
65             ;20.563         ; 1352634.26    ; 17.65         ; 2.45          ; 588785.74     ;0.065          ;0.035          ;VANILLIN       ;Ca-21          ;NA             ; 1.11531826    
 7             ;10.440         ; 5120713.97    ; 62.35         ; 9.25          ;1266675.12     ;0.140          ;0.070          ;FURFURAL       ;Ca-22          ;NA             ; 4.88339797    
14             ;11.970         ;  400985.86    ;  4.88         ; 0.72          ; 121268.91     ;0.110          ;0.050          ;5METHYLFURFURAL;Ca-22          ;NA             ; 0.16366986    
63             ;20.570         ;  531344.28    ;  6.47         ; 0.96          ; 366711.19     ;0.040          ;0.020          ;VANILLIN       ;Ca-22          ;NA             ; 0.29402828    
 5             ;10.480         ; 2199991.85    ;  5.00         ; 2.25          ; 448848.73     ;0.243          ;0.094          ;FURFURAL       ;Ca-23          ;NA             ; 1.96267585    
 7             ;11.974         ;  147740.65    ;  0.34         ; 0.15          ;  60043.99     ;0.118          ;0.040          ;5METHYLFURFURAL;Ca-23          ;NA             ;-0.08957535    
 7             ;10.495         ; 2942367.92    ;  4.25         ; 2.33          ; 699851.05     ;0.175          ;0.064          ;FURFURAL       ;Ca-24          ;NA             ; 2.70505192    
12             ;12.001         ;  104236.43    ;  0.15         ; 0.08          ;  51028.55     ;0.060          ;0.035          ;5METHYLFURFURAL;Ca-24          ;NA             ;-0.13307957    
52             ;20.582         ;  419055.01    ;  0.61         ; 0.33          ; 289916.33     ;0.047          ;0.024          ;VANILLIN       ;Ca-24          ;NA             ; 0.18173901    
 7             ;10.370         ; 5729960.27    ;100.00         ;13.66          ;1233505.36     ;0.150          ;0.080          ;FURFURAL       ;Ca-25          ;NA             ; 5.49264427    
12             ;11.910         ; 1097742.00    ; 19.16         ; 2.62          ; 196103.73     ;0.310          ;0.070          ;5METHYLFURFURAL;Ca-25          ;NA             ; 0.86042600    
 2             ;10.389         ; 4528314.35    ; 70.58         ;12.76          ; 919948.57     ;0.177          ;0.080          ;FURFURAL       ;Ca-26          ;NA             ; 4.29099835    
 7             ;11.921         ;  478700.96    ;  7.46         ; 1.35          ; 112775.12     ;0.163          ;0.064          ;5METHYLFURFURAL;Ca-26          ;NA             ; 0.24138496    
43             ;20.532         ;  921609.56    ; 14.37         ; 2.60          ; 335995.58     ;0.072          ;0.046          ;VANILLIN       ;Ca-26          ;NA             ; 0.68429356    
