WN;Ca14-1;Ca2-1;Ca2-2;Ca16-1;Ca18-1;Ca29-1;Ca28-1;Ca30-1;Ca27-1;Ca26-1;Ca15-1;Ca13-1;Ca21-1;Ca22-1;Ca19-1;Ca19-2;Ca3-1;Ca23-1;Ca10-1;Ca25-1;Ca12-1;Ca7-1;Ca11-1;Ca4-1;Ca6-1;Ca17-1;Ca1-1;Ca20-1;F21-1;F19-1;F25-1;Ca8-1;F26-1;F30-1;F27-1;F29-1;Ce6-1;Ce17-1;Ce20-1;Ce9-1;Ce8-1;Ce21-1;Ce19-1;Ce23-1;F28-1;Ce18-1;Ce15-1;Ce16-1;Ce12-1;R1-1;R7-1;R5-1;R3-1;R8-1;R4-1;R6-1;R27-1;R17-1;R15-1;R9-1;R14-1;R16-1;R2-1;R22-1;R21-1;R12-1;R11-1;R28-1;R13-1;R10-1;R30_1;R29-1;R20-1;R19-1;R23-1;R18-1;R26-1;R24-1
 4.230000e+02; 3.347841e+00; 3.100468e+00; 3.139136e+00; 3.094762e+00; 2.770081e+00; 2.815004e+00; 2.832104e+00; 3.104613e+00; 3.270027e+00; 3.094540e+00; 3.298954e+00; 2.893296e+00; 2.820528e+00; 3.187104e+00; 3.177152e+00; 3.319302e+00; 2.790280e+00; 3.021967e+00; 3.283121e+00; 3.245340e+00; 3.280423e+00; 3.597867e+00; 3.705940e+00; 3.383719e+00; 3.195005e+00; 2.970567e+00; 2.939350e+00; 3.401523e+00; 3.709104e+00; 3.094700e+00; 3.188341e+00; 3.018578e+00; 3.120384e+00; 3.132620e+00; 2.409306e+00; 2.632303e+00; 2.951027e+00; 2.577438e+00; 1.905533e+00; 2.066502e-02; 2.172215e+00; 2.783479e+00; 2.581812e+00; 2.098221e+00; 2.579998e+00; 2.487665e+00; 2.117000e+00; 1.776826e+00; 2.727743e+00; 2.946182e+00; 2.464954e+00; 3.176670e+00; 2.630546e+00; 3.103706e+00; 2.922842e+00; 3.159310e+00; 2.627131e+00; 3.185597e+00; 3.036541e+00; 3.201236e+00; 3.056187e+00; 3.368253e+00; 2.538259e+00; 3.562188e+00; 3.043902e+00; 3.142132e+00; 3.314865e+00; 4.133864e+00; 3.512629e+00; 4.797320e+00; 3.376543e+00; 2.982366e+00; 2.739531e+00; 2.822594e+00; 3.128922e+00; 2.261305e+00; 2.769698e+00; 2.834391e+00
 4.340000e+02; 3.394562e+00; 3.286796e+00; 3.278523e+00; 3.205898e+00; 2.817923e+00; 3.067693e+00; 2.779092e+00; 3.045344e+00; 3.215619e+00; 3.052301e+00; 3.026952e+00; 2.913072e+00; 2.746821e+00; 3.229660e+00; 3.113617e+00; 3.190001e+00; 2.745206e+00; 3.272922e+00; 3.283438e+00; 3.113673e+00; 3.271797e+00; 3.300238e+00; 3.374230e+00; 3.412237e+00; 3.224946e+00; 2.964913e+00; 3.382689e+00; 3.451716e+00; 3.310145e+00; 2.923125e+00; 2.966515e+00; 3.069466e+00; 2.912400e+00; 3.077880e+00; 2.478746e+00; 2.615533e+00; 2.862097e+00; 2.575196e+00; 2.281093e+00; 9.601640e-01; 2.241532e+00; 2.732908e+00; 2.660057e+00; 2.455031e+00; 2.825709e+00; 2.796924e+00; 2.351405e+00; 2.264793e+00; 2.923967e+00; 3.005178e+00; 2.605233e+00; 3.412541e+00; 2.849121e+00; 3.228427e+00; 3.173073e+00; 2.953833e+00; 2.716457e+00; 3.171701e+00; 3.051831e+00; 3.116134e+00; 2.934814e+00; 3.268166e+00; 2.522437e+00; 2.854380e+00; 2.862507e+00; 2.950544e+00; 2.965927e+00; 3.923976e+00; 3.573868e+00; 4.286753e+00; 3.318012e+00; 3.139560e+00; 3.331642e+00; 2.870381e+00; 3.474690e+00; 2.846210e+00; 2.837265e+00; 3.234954e+00
 4.570000e+02; 2.995981e+00; 2.886153e+00; 2.851939e+00; 2.897494e+00; 2.637430e+00; 2.801729e+00; 2.646629e+00; 2.881901e+00; 2.973346e+00; 2.886174e+00; 2.951019e+00; 2.823536e+00; 2.651262e+00; 3.064931e+00; 3.020737e+00; 2.913961e+00; 2.614894e+00; 2.963464e+00; 3.017774e+00; 2.859425e+00; 2.987211e+00; 3.026372e+00; 2.988770e+00; 3.024201e+00; 2.987161e+00; 2.786746e+00; 3.267693e+00; 3.150264e+00; 3.143491e+00; 2.803152e+00; 2.935015e+00; 2.957293e+00; 2.937266e+00; 2.875155e+00; 2.320329e+00; 2.456372e+00; 2.640220e+00; 2.429145e+00; 2.222939e+00; 1.069513e+00; 2.193293e+00; 2.598131e+00; 2.527851e+00; 2.293793e+00; 2.625088e+00; 2.499620e+00; 2.196282e+00; 2.268375e+00; 2.786310e+00; 2.789004e+00; 2.494361e+00; 3.178233e+00; 2.638804e+00; 2.916781e+00; 2.921115e+00; 2.864978e+00; 2.727309e+00; 2.925145e+00; 2.856908e+00; 2.936766e+00; 2.847303e+00; 2.989260e+00; 2.394588e+00; 2.838859e+00; 2.773319e+00; 2.840472e+00; 2.884940e+00; 3.737775e+00; 3.186233e+00; 3.532019e+00; 3.044064e+00; 2.908975e+00; 3.021802e+00; 2.728512e+00; 3.256529e+00; 2.591458e+00; 2.725011e+00; 2.941880e+00
 5.270000e+02; 2.833761e+00; 2.731238e+00; 2.713621e+00; 2.778593e+00; 2.679527e+00; 2.740078e+00; 2.602387e+00; 2.792586e+00; 2.853614e+00; 2.756233e+00; 2.770129e+00; 2.730732e+00; 2.696527e+00; 2.842929e+00; 2.790962e+00; 2.799376e+00; 2.654151e+00; 2.772093e+00; 2.876187e+00; 2.779349e+00; 2.843050e+00; 2.899392e+00; 2.811196e+00; 2.866411e+00; 2.813578e+00; 2.738125e+00; 2.963055e+00; 2.846766e+00; 2.866083e+00; 2.698627e+00; 2.686300e+00; 2.808523e+00; 2.774218e+00; 2.766576e+00; 2.456567e+00; 2.526144e+00; 2.660601e+00; 2.610324e+00; 2.423652e+00; 9.970452e-01; 2.373089e+00; 2.631749e+00; 2.606518e+00; 2.467494e+00; 2.634652e+00; 2.641049e+00; 2.398146e+00; 2.343799e+00; 2.712333e+00; 2.648062e+00; 2.513917e+00; 2.828257e+00; 2.616353e+00; 2.742004e+00; 2.780693e+00; 2.718155e+00; 2.653868e+00; 2.749261e+00; 2.703004e+00; 2.714326e+00; 2.754908e+00; 2.731337e+00; 2.393983e+00; 2.742343e+00; 2.652686e+00; 2.727189e+00; 2.798935e+00; 3.092854e+00; 2.875399e+00; 2.616890e+00; 2.820352e+00; 2.760574e+00; 2.631057e+00; 2.694513e+00; 2.934660e+00; 2.711372e+00; 2.599239e+00; 2.805943e+00
 5.570000e+02; 2.735311e+00; 2.604106e+00; 2.611375e+00; 2.663129e+00; 2.640751e+00; 2.611370e+00; 2.516979e+00; 2.700344e+00; 2.706394e+00; 2.612314e+00; 2.593960e+00; 2.592059e+00; 2.584502e+00; 2.685145e+00; 2.647820e+00; 2.568321e+00; 2.541458e+00; 2.594935e+00; 2.692267e+00; 2.641710e+00; 2.691628e+00; 2.726400e+00; 2.570469e+00; 2.681409e+00; 2.629305e+00; 2.604368e+00; 2.684896e+00; 2.703732e+00; 2.783365e+00; 2.605944e+00; 2.586823e+00; 2.666286e+00; 2.669782e+00; 2.635267e+00; 2.355981e+00; 2.460910e+00; 2.573217e+00; 2.578274e+00; 2.455682e+00; 3.040676e-01; 2.407201e+00; 2.639502e+00; 2.604878e+00; 2.512664e+00; 2.512280e+00; 2.573527e+00; 2.391331e+00; 2.330416e+00; 2.649239e+00; 2.543084e+00; 2.426993e+00; 2.670400e+00; 2.542334e+00; 2.634613e+00; 2.685378e+00; 2.578932e+00; 2.540149e+00; 2.650450e+00; 2.617357e+00; 2.640632e+00; 2.664976e+00; 2.662756e+00; 2.389785e+00; 2.644132e+00; 2.590263e+00; 2.589318e+00; 2.729789e+00; 2.894316e+00; 2.714268e+00; 2.417189e+00; 2.684899e+00; 2.674201e+00; 2.415068e+00; 2.586390e+00; 2.732560e+00; 2.496720e+00; 2.520511e+00; 2.684156e+00
 6.580000e+02; 1.672976e+00; 1.686343e+00; 1.660906e+00; 1.627443e+00; 1.612533e+00; 1.683380e+00; 1.628915e+00; 1.734815e+00; 1.694078e+00; 1.650234e+00; 1.655217e+00; 1.658575e+00; 1.648251e+00; 1.676168e+00; 1.641464e+00; 1.700242e+00; 1.637023e+00; 1.697047e+00; 1.671966e+00; 1.687173e+00; 1.706721e+00; 1.752131e+00; 1.623407e+00; 1.667877e+00; 1.681728e+00; 1.685773e+00; 1.769722e+00; 1.681131e+00; 1.678347e+00; 1.661969e+00; 1.722073e+00; 1.731113e+00; 1.704106e+00; 1.651281e+00; 1.530236e+00; 1.598051e+00; 1.660974e+00; 1.644789e+00; 1.640568e+00; 1.772482e-01; 1.549286e+00; 1.624265e+00; 1.626196e+00; 1.649443e+00; 1.620752e+00; 1.635315e+00; 1.547259e+00; 1.574783e+00; 1.662090e+00; 1.563727e+00; 1.541004e+00; 1.648522e+00; 1.637626e+00; 1.609613e+00; 1.603478e+00; 1.587244e+00; 1.587901e+00; 1.631098e+00; 1.674771e+00; 1.670541e+00; 1.710940e+00; 1.645548e+00; 1.629714e+00; 1.697067e+00; 1.622341e+00; 1.624956e+00; 1.638518e+00; 1.662067e+00; 1.681991e+00; 1.496105e+00; 1.653721e+00; 1.693315e+00; 1.845969e+00; 1.661671e+00; 1.736805e+00; 1.709233e+00; 1.612001e+00; 1.654350e+00
 6.690000e+02; 1.552314e+00; 1.588970e+00; 1.565227e+00; 1.510531e+00; 1.479600e+00; 1.562173e+00; 1.501032e+00; 1.599914e+00; 1.574950e+00; 1.549447e+00; 1.537094e+00; 1.543502e+00; 1.514815e+00; 1.562514e+00; 1.524086e+00; 1.645568e+00; 1.509132e+00; 1.539614e+00; 1.562022e+00; 1.557200e+00; 1.595615e+00; 1.631109e+00; 1.521493e+00; 1.556482e+00; 1.566315e+00; 1.565039e+00; 1.650691e+00; 1.583386e+00; 1.602160e+00; 1.586077e+00; 1.602691e+00; 1.620517e+00; 1.657305e+00; 1.523991e+00; 1.429216e+00; 1.473661e+00; 1.514073e+00; 1.543120e+00; 1.745771e+00; 2.723628e-01; 1.493649e+00; 1.536896e+00; 1.563709e+00; 1.558226e+00; 1.513667e+00; 1.555995e+00; 1.480643e+00; 1.584634e+00; 1.582249e+00; 1.459582e+00; 1.453243e+00; 1.536779e+00; 1.521193e+00; 1.502989e+00; 1.511285e+00; 1.501532e+00; 1.547491e+00; 1.560452e+00; 1.607933e+00; 1.554091e+00; 1.578854e+00; 1.543171e+00; 1.513006e+00; 1.933003e+00; 1.516612e+00; 1.511397e+00; 1.589344e+00; 1.542454e+00; 1.615760e+00; 1.913372e+00; 1.572079e+00; 1.595892e+00; 1.919804e+00; 1.572819e+00; 1.654364e+00; 1.625916e+00; 1.489164e+00; 1.524371e+00
 8.330000e+02; 5.220869e-01; 5.498526e-01; 5.530942e-01; 4.424768e-01; 3.450551e-01; 5.395279e-01; 5.313123e-01; 4.569701e-01; 4.780182e-01; 5.554051e-01; 5.176756e-01; 5.465506e-01; 3.905583e-01; 4.956429e-01; 5.473641e-01; 5.648673e-01; 4.139950e-01; 5.812142e-01; 5.251182e-01; 5.189444e-01; 4.902209e-01; 5.120884e-01; 4.812529e-01; 5.614461e-01; 4.945423e-01; 4.678275e-01; 6.601133e-01; 5.656611e-01; 5.492101e-01; 5.188157e-01; 6.511095e-01; 5.422703e-01; 5.989158e-01; 5.205472e-01; 4.700487e-01; 4.899501e-01; 4.291771e-01; 3.705987e-01; 3.468737e-01;-3.623814e-01; 3.368688e-01; 3.594006e-01; 3.532508e-01; 3.240813e-01; 5.400030e-01; 3.699715e-01; 2.619647e-01; 4.030749e-01; 4.502654e-01; 5.303035e-01; 4.705627e-01; 5.328139e-01; 5.545042e-01; 5.321124e-01; 5.126680e-01; 5.059173e-01; 4.529638e-01; 5.635572e-01; 5.663912e-01; 5.919640e-01; 6.310158e-01; 5.737474e-01; 6.153787e-01; 5.456511e-01; 5.275624e-01; 5.888480e-01; 6.263276e-01; 4.920267e-01; 6.004507e-01; 5.464345e-01; 6.186505e-01; 5.657172e-01; 7.635079e-01; 5.732192e-01; 6.421646e-01; 5.292995e-01; 5.545181e-01; 6.805970e-01
 8.960000e+02; 8.767652e-01; 7.126065e-01; 7.825831e-01; 8.150255e-01; 7.415762e-01; 7.910566e-01; 1.008940e+00; 7.189193e-01; 7.579142e-01; 9.093456e-01; 7.986951e-01; 8.097126e-01; 7.128239e-01; 8.068388e-01; 8.400740e-01; 7.625104e-01; 7.193065e-01; 8.760985e-01; 8.505564e-01; 7.569063e-01; 7.929818e-01; 8.412992e-01; 8.105286e-01; 9.041720e-01; 7.800303e-01; 7.579946e-01; 8.048668e-01; 8.637447e-01; 8.038928e-01; 7.912669e-01; 8.908310e-01; 7.779466e-01; 8.370046e-01; 8.331135e-01; 7.589858e-01; 7.724756e-01; 7.653288e-01; 6.426534e-01; 7.088256e-01;-4.727395e-02; 6.611317e-01; 6.618008e-01; 6.902902e-01; 5.036125e-01; 7.936349e-01; 6.055564e-01; 5.521386e-01; 6.942731e-01; 7.438043e-01; 9.175419e-01; 8.176298e-01; 8.298913e-01; 9.098410e-01; 9.328163e-01; 8.966205e-01; 8.564447e-01; 8.063620e-01; 9.286765e-01; 8.704429e-01; 8.729295e-01; 9.295035e-01; 8.690558e-01; 1.078037e+00; 7.891104e-01; 8.558885e-01; 8.879162e-01; 9.329152e-01; 6.920722e-01; 9.389002e-01; 7.723385e-01; 9.451934e-01; 9.382560e-01; 9.244808e-01; 8.989632e-01; 8.576941e-01; 7.839221e-01; 9.170309e-01; 1.050874e+00
 9.840000e+02; 2.366647e+00; 2.106205e+00; 2.240324e+00; 2.448045e+00; 2.672310e+00; 2.249815e+00; 2.604285e+00; 2.256900e+00; 2.328956e+00; 2.411023e+00; 2.260737e+00; 2.322434e+00; 2.514161e+00; 2.255880e+00; 2.305202e+00; 2.023310e+00; 2.450302e+00; 1.985700e+00; 2.249501e+00; 2.211214e+00; 2.257109e+00; 2.265423e+00; 2.210547e+00; 2.294545e+00; 2.244145e+00; 2.344400e+00; 1.842351e+00; 2.211641e+00; 2.042130e+00; 2.427250e+00; 2.306608e+00; 2.194322e+00; 2.261985e+00; 2.433238e+00; 2.538873e+00; 2.577454e+00; 2.518338e+00; 2.638461e+00; 2.569678e+00; 2.400109e-01; 2.655097e+00; 2.627310e+00; 2.598714e+00; 2.397348e+00; 2.478203e+00; 2.384008e+00; 2.499516e+00; 2.516438e+00; 2.511746e+00; 2.615052e+00; 2.626294e+00; 2.122245e+00; 2.450640e+00; 2.476893e+00; 2.507997e+00; 2.486049e+00; 2.592104e+00; 2.431835e+00; 2.393718e+00; 2.328350e+00; 2.408807e+00; 2.314464e+00; 2.626028e+00; 2.250883e+00; 2.467711e+00; 2.403143e+00; 2.363590e+00; 1.677890e+00; 2.213478e+00; 1.819675e+00; 2.312816e+00; 2.498888e+00; 2.150056e+00; 2.539934e+00; 2.057304e+00; 2.405357e+00; 2.526788e+00; 2.357718e+00
 1.019000e+03; 2.674712e+00; 2.659006e+00; 2.753926e+00; 2.839998e+00; 3.295705e+00; 2.839093e+00; 2.868514e+00; 2.815358e+00; 2.826713e+00; 2.755950e+00; 2.735073e+00; 2.916025e+00; 3.146289e+00; 2.582290e+00; 2.589642e+00; 2.475313e+00; 3.061345e+00; 2.216159e+00; 2.522957e+00; 2.760161e+00; 2.640566e+00; 2.500061e+00; 2.461012e+00; 2.503751e+00; 2.622626e+00; 2.875684e+00; 2.144593e+00; 2.398158e+00; 2.327635e+00; 2.935863e+00; 2.784864e+00; 2.689815e+00; 2.648913e+00; 2.796292e+00; 3.132472e+00; 3.171558e+00; 3.025189e+00; 3.394306e+00; 3.298396e+00; 1.151687e+00; 3.529274e+00; 3.259035e+00; 3.310274e+00; 3.318527e+00; 3.054635e+00; 3.145473e+00; 3.237661e+00; 3.093462e+00; 2.983871e+00; 3.078973e+00; 3.285563e+00; 2.474431e+00; 2.883776e+00; 2.773453e+00; 2.844838e+00; 2.993940e+00; 3.170076e+00; 2.759658e+00; 2.837330e+00; 2.782679e+00; 2.855389e+00; 2.830619e+00; 2.912947e+00; 2.786941e+00; 3.004596e+00; 2.900359e+00; 2.774046e+00; 1.821520e+00; 2.399573e+00; 1.950295e+00; 2.600678e+00; 2.832895e+00; 2.413749e+00; 2.985867e+00; 2.381694e+00; 3.085519e+00; 3.092451e+00; 2.621996e+00
